fertilizer_cont,shade_cont,table,block,rep,spp,chl_wt,chl_area,focal.area,dry.wt,fresh.wt,sla,stem.wt,leaves.wt,roots.wt,nod.wt,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK,vcmax25,jmax25,jv25,marea,nmass,narea,tla,biomass,vcmax25_narea,jmax25_narea,avg_649,avg_665,chla_ug.ml,chlb_ug.ml,chla_g.ml,chlb_g.ml,chla_g,chlb_g,chla_g.m2,chlb_g.m2,chla_mol.m2,chlb_mol.m2,chla_mmol.m2,chlb_mmol.m2,chl_marea,chla_mmol.g,chlb_mmol.g,chl_mmol.g,chl_mmol.m2,chl_mmol.m2_narea,propN_rubisco,propN_bioenergetics,propN_lightharvesting,propN_photosynthesis
0,0,3,one,1,Cotton,0.0401,2.121,25.945,0.1361,0.4858,190.6318883,0.5971,0.6127,0.557,0,2.054070789,38.75500862,17.10707445,16.76486959,97.277436,105.9748862,25.00777595,298.157776,97.2067345,105.9225063,1.089662222,52.45712084,0.020540708,1.077506396,107.429,1.7668,90.21453132,98.30336667,0.172666667,0.488666667,5.361146667,1.197233333,5.36E-06,1.20E-06,5.36E-05,1.20E-05,0.252765048,0.056446645,0.00028289,6.22E-05,0.282890005,0.282890005,189.0617633,0.001496284,0.001496284,0.002992567,0.565780009,0.525082738,0.704113415,0.078182369,0.052978029,0.835273813
0,30,4,one,1,Cotton,0.0259,1.947,31.142,0.1303,0.4663,239.0023024,0.5401,0.5263,0.2569,0,2.164477027,NA,18.90294373,16.06172895,92.91380201,113.7831461,24.98862614,298.1386261,93.01268159,113.8654754,1.224193018,41.84060111,0.02164477,0.905630199,128.606,1.3233,102.7049249,125.730652,0.040333333,0.342666667,4.037956667,-0.936056667,4.04E-06,-9.36E-07,4.04E-05,-9.36E-06,0.207393768,-0.04807687,0.000232111,-5.30E-05,0.232111301,0.232111301,133.0251669,0.001744868,0.001744868,0.003489735,0.464222601,0.512596203,0.801599414,0.099995764,0.058628231,0.960223409
0,50,1,one,1,Cotton,0.0198,1.889,48.41,0.1628,0.5755,297.3587224,0.6742,0.6024,0.3108,0,2.2063029,38.81658106,9.608018051,9.584695661,49.99479911,58.911233,24.99122182,298.1412218,50.035856,58.94412743,1.178037754,33.62941541,0.022063029,0.741966767,190.59,1.5874,67.43678855,79.44308293,0.09,0.251333333,2.753253333,0.642006667,2.75E-06,6.42E-07,2.75E-05,6.42E-06,0.145751897,0.033986589,0.000163123,3.75E-05,0.163122849,0.163122849,104.8173637,0.001556258,0.001556258,0.003112516,0.326245698,0.439703923,0.526335911,0.063182459,0.051299571,0.64081794
0,80,2,one,1,Cotton,0.0157,1.751,45.66,0.0989,0.5081,461.6784631,0.4222,0.4435,0.0747,0,3.266292687,36.82450479,10.59762422,10.1596579,56.75991456,62.48158399,24.92285161,298.0728516,57.17111371,62.78911246,1.098266387,21.66009636,0.032662927,0.707482144,192.992,0.9404,80.80926738,88.75010209,0.149666667,0.371333333,4.010203333,1.315676667,4.01E-06,1.32E-06,4.01E-05,1.32E-05,0.229023606,0.075138587,0.000256319,8.28E-05,0.256319018,0.256319018,89.66304969,0.002858692,0.002858692,0.005717383,0.512638036,0.724595017,0.630706477,0.070584492,0.06365163,0.764942599
70,0,3,one,1,Cotton,0.0341,2.103,51.672,0.2589,0.8721,199.5828505,1.4222,1.3104,0.7725,0,2.782346237,38.59301024,23.36831942,21.16036211,134.6385171,146.4178286,25.00245308,298.1524531,134.6076376,146.3949929,1.087568251,50.10450535,0.027823462,1.394080819,254.638,3.5051,96.55655234,105.0118407,0.179,0.491,5.36774,1.32409,5.37E-06,1.32E-06,5.37E-05,1.32E-05,0.255242035,0.062961959,0.000285662,6.94E-05,0.285662203,0.285662203,162.1493105,0.001761723,0.001761723,0.003523446,0.571324406,0.409821582,0.753612116,0.083517734,0.046049382,0.883179232
70,30,4,one,1,Cotton,0.0234,1.877,51.166,0.1673,0.7329,305.8338314,0.405,0.6335,0.1718,0,3.933619251,37.06133189,12.04058248,14.16042968,59.20192872,82.81316099,24.99174182,298.1417418,59.24766539,82.85666143,1.398479769,32.69749443,0.039336193,1.286194936,176.479,1.2103,46.06429691,64.41998731,0.096333333,0.228666667,2.455096667,0.901863333,2.46E-06,9.02E-07,2.46E-05,9.02E-06,0.13079897,0.048048126,0.000146388,5.29E-05,0.146387808,0.146387808,124.6670218,0.00117423,0.00117423,0.002348461,0.292775615,0.227629271,0.35952622,0.051234331,0.021709924,0.432470475
70,50,1,one,1,Cotton,0.0188,1.805,83.279,0.2572,1.0539,323.7908243,1.0403,1.1358,0.3551,0,3.342527328,37.89807645,13.88278645,14.07913029,69.35070269,86.5671758,24.98080909,298.1308091,69.47528342,86.6728976,1.247535718,30.88413645,0.033425273,1.032310701,384.797,2.5312,67.30074904,83.96008829,0.118666667,0.32,3.4914,0.90708,3.49E-06,9.07E-07,3.49E-05,9.07E-06,0.193429363,0.05025374,0.000216483,5.54E-05,0.216482594,0.216482594,104.1551247,0.002078463,0.002078463,0.004156926,0.432965189,0.41941364,0.525274139,0.066774911,0.045223553,0.637272603
70,80,2,one,1,Cotton,0.0187,1.6,68.341,0.1579,0.864,432.8119063,0.4733,0.7634,0.0837,0,3.887580876,35.03290929,13.33314245,10.55612156,63.85274053,75.35736879,25.01514751,298.1651475,63.7623738,75.28483569,1.180709425,23.10472483,0.038875809,0.898214864,314.166,1.3204,70.98788536,83.81606529,0.153666667,0.366,3.93139,1.43201,3.93E-06,1.43E-06,3.93E-05,1.43E-05,0.245711875,0.089500625,0.000274996,9.86E-05,0.274996223,0.274996223,116.875,0.002352909,0.002352909,0.004705818,0.549992446,0.612317239,0.554051788,0.066660367,0.044017256,0.664729412
210,0,3,one,1,Cotton,0.0352,1.883,46.629,0.2347,0.8876,198.6749041,0.9154,1.0979,0.7178,0,4.409956432,38.06576786,28.92871764,27.76624749,177.548701,202.6920855,24.97767771,298.1276777,177.9197533,202.9800575,1.140851725,50.33348346,0.044099564,2.219684691,242.855,2.7311,80.15541758,91.4454464,0.227666667,0.674,7.43061,1.42071,7.43E-06,1.42E-06,7.43E-05,1.42E-05,0.394615507,0.075449283,0.000441646,8.31E-05,0.441646436,0.441646436,186.9357408,0.002362557,0.002362557,0.004725115,0.883292872,0.397936191,0.625603259,0.072728146,0.038962372,0.737293777
210,30,4,one,1,Cotton,0.0258,1.903,58.311,0.2975,0.9025,196.0033613,0.686,0.8229,0.2728,0,3.798074243,35.53716472,18.6460478,22.74616699,95.58407768,138.8869562,25.00094318,298.1509432,95.5756481,138.8786272,1.453075443,51.0195332,0.037980742,1.93775975,187.501,1.7817,49.32275434,71.66968312,0.022,0.332666667,3.979306667,-1.286006667,3.98E-06,-1.29E-06,3.98E-05,-1.29E-05,0.209107024,-0.06757786,0.000234029,-7.45E-05,0.234028745,0.234028745,135.5754073,0.001726189,0.001726189,0.003452378,0.46805749,0.241545677,0.384958083,0.057000139,0.033053857,0.475012079
