id,n.trt,inoc,rep,block,leaf.biomass,stem.biomass,root.biomass,nodule.biomass,focal.n,focal.c,leaf.n,leaf.c,stem.n,stem.c,root.n,root.c,nodule.n,nodule.c,total.leaf.n,total.stem.n,total.root.n,total.root.c,total.nod.n,total.nod.c,wp.total.n,bg.total.c,n.cost,total.biomass,nod.root.biomass,total.leaf.area,bvr
r1_hn_ni,630,ni,1,1,2.1432,1.5136,NA,NA,6.502,44.045,5.556,45.628,1.713,44.371,NA,NA,NA,NA,0.119076192,0.025927968,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065.755,NA
r1_hn_yi,630,yi,1,1,2.3553,1.5901,0.3455,0.0066,6.686,44.635,5.195,44.625,1.676,43.086,1.103,45.911,3.08,48.033,0.122357835,0.026650076,0.003810865,0.158622505,0.00020328,0.003170178,0.153022056,0.161792683,1.057316097,4.2975,0.01910275,1139.143,0.71625
r1_ln_ni,70,ni,1,1,1.3381,1.0404,0.7118,0.0387,5.044,43.832,3.234,44.091,1.044,43.679,0.861,45.83,3.622,48.658,0.043274154,0.010861776,0.006128598,0.32621794,0.001401714,0.018830646,0.061666242,0.345048586,5.595421008,3.129,0.054369205,615.013,0.5215
r1_ln_yi,70,yi,1,1,1.9431,1.5932,0.8649,0.0664,5.865,45.18,5.214,51.132,1.105,44.663,1.02,46.017,2.465,47.626,0.101313234,0.01760486,0.00882198,0.398001033,0.00163676,0.031623664,0.129376834,0.429624697,3.320723531,4.4676,0.076771881,1000.992,0.7446
r2_hn_ni,630,ni,2,1,2.4446,1.739,0.8944,0.0106,7.357,45.298,5.608,45.57,2.121,45.306,0.863,45.391,2.557,47.19,0.137093168,0.03688419,0.007718672,0.405977104,0.000271042,0.00500214,0.181967072,0.410979244,2.258536336,5.0886,0.011851521,1054.533,0.8481
r2_hn_yi,630,yi,2,1,2.4794,1.6878,0.5323,2.00E-04,7.132,45.077,5.434,46.078,1.422,44.361,0.89,43.434,3.064,49.295,0.134730596,0.024000516,0.00473747,0.231199182,6.13E-06,9.86E-05,0.16347471,0.231297772,1.414884125,4.6997,0.000375728,1340.955,0.783283333
r2_ln_ni,70,ni,2,1,1.5875,1.186,3.4192,0,4.538,44.275,2.797,43.007,0.897,43.058,0.607,39.096,NA,NA,0.044402375,0.01063842,0.020754544,1.336770432,0,0,0.075795339,1.336770432,17.63657831,6.1927,0,675.484,1.032116667
r2_ln_yi,70,yi,2,1,1.3379,0.9446,1.5217,0.0472,5.354,45.137,4.541,45.024,1.746,45.634,0.604,39.494,NA,NA,0.060754039,0.016492716,0.009191068,0.600980198,NA,NA,0.086437823,0.600980198,6.952745652,3.8514,0.03101794,684.219,0.6419
r3_hn_ni,630,ni,3,1,2.2645,1.621,0.6969,0.0123,5.874,44.991,5.012,45.245,1.285,43.531,0.923,44.686,3.505,47.662,0.11349674,0.02082985,0.006432387,0.311416734,0.000431115,0.005862426,0.141190092,0.31727916,2.247177231,4.5947,0.017649591,1158.334,0.765783333
r3_hn_yi,630,yi,3,1,1.9566,1.1256,0.5384,0.0235,6.943,44.426,5.745,45.113,2.137,45.878,0.958,46.413,3.44,46.291,0.11240667,0.024054072,0.005157872,0.249887592,0.0008084,0.010878385,0.142427014,0.260765977,1.830874422,3.6441,0.043647845,1008.622,0.60735
r3_ln_ni,70,ni,3,1,1.3247,1.0739,NA,NA,5.45,44.952,3.729,44.02,0.956,43.229,NA,NA,NA,NA,0.049398063,0.010266484,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.156,NA
r3_ln_yi,70,yi,3,1,1.6024,1.1925,0.4609,0.0274,6.065,44.864,4.485,44.806,1.13,43.681,1.138,43.825,4.04,47.979,0.07186764,0.01347525,0.005245042,0.201989425,0.00110696,0.013146246,0.091694892,0.215135671,2.346212164,3.2832,0.059448904,827.526,0.5472
r4_hn_ni,630,ni,4,1,2.3279,1.7527,0.5996,2.00E-04,7.291,44.816,4.778,44.455,1.188,44.149,NA,NA,NA,NA,0.111227062,0.020822076,NA,NA,NA,NA,NA,NA,NA,4.6804,0.000333556,1043.37,0.780066667
r4_hn_yi,630,yi,4,1,2.3619,1.6109,NA,0.0231,7.25,45.13,5.325,45.214,1.989,45.636,1.236,45.991,3.07,46.751,0.125771175,0.032040801,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168.184,NA
r4_ln_ni,70,ni,4,1,1.0508,0.742,0.6379,0.0302,4.552,44.104,4.086,44.272,1.274,46.779,1.344,44.7,3.575,44.201,0.042935688,0.00945308,0.008573376,0.2851413,0.00107965,0.013348702,0.062041794,0.298490002,4.811111716,2.4609,0.047342844,501.493,0.41015
r4_ln_yi,70,yi,4,1,1.616,1.3106,1.992,0.0158,5.463,44.822,4.385,44.914,0.926,43.442,NA,NA,2.443,49.825,0.0708616,0.012136156,NA,NA,0.000385994,0.00787235,NA,NA,NA,4.9344,0.007931727,745.34,0.8224
r5_hn_ni,630,ni,5,2,2.5843,2.1149,0.6956,0.0185,6.538,45.44,4.995,45.507,1.306,43.437,1.41,44.775,4.711,48.882,0.129085785,0.027620594,0.00980796,0.3114549,0.000871535,0.00904317,0.167385874,0.32049807,1.914725911,5.4133,0.026595745,1193.013,0.902216667
r5_hn_yi,630,yi,5,2,3.2619,2.6627,3.5945,0.0231,6.64,45.54,5.084,45.363,1.33,43.466,0.775,42.319,3.086,47.27,0.165834996,0.03541391,0.027857375,1.521156455,0.000712866,0.01091937,0.229819147,1.532075825,6.666441178,9.5422,0.006426485,1512.99,1.590366667
r5_ln_ni,70,ni,5,2,0.7886,0.5988,0.4865,0,4.18,44.149,2.968,43.162,0.773,44.337,0.924,45.211,NA,NA,0.023405648,0.004628724,0.00449526,0.219951515,0,0,0.032529632,0.219951515,6.761574032,1.8739,0,358.755,0.312316667
r5_ln_yi,70,yi,5,2,1.7442,1.2307,0.3346,0,5.007,44.055,3.544,32.982,1.122,43.379,0.966,47.286,NA,NA,0.061814448,0.013808454,0.003232236,0.158218956,0,0,0.078855138,0.158218956,2.006450816,3.3095,0,860.455,0.551583333
r6_hn_ni,630,ni,6,2,2.4633,1.67,1.3575,0,7.181,44.964,5.669,45.252,1.794,43.293,0.9,41.629,NA,NA,0.139644477,0.0299598,0.0122175,0.565113675,0,0,0.181821777,0.565113675,3.108063755,5.4908,0,1212.042,0.915133333
r6_hn_yi,630,yi,6,2,2.7427,2.0652,0.6232,0.0206,5.931,45.192,4.788,44.26,1.318,43.652,1.084,42.817,3.715,47.34,0.131320476,0.027219336,0.006755488,0.266835544,0.00076529,0.00975204,0.16606059,0.276587584,1.665582328,5.4517,0.033055199,1216.673,0.908616667
r6_ln_ni,70,ni,6,2,1.0662,0.8904,2.4782,0,3.931,44.698,2.96,43.354,1.067,45.904,0.93,42.144,NA,NA,0.03155952,0.009500568,0.02304726,1.044412608,0,0,0.064107348,1.044412608,16.29162086,4.4348,0,433.66,0.739133333
r6_ln_yi,70,yi,6,2,1.5985,1.1748,0.4124,3.00E-04,6.415,45.125,4.534,44.602,1.181,44.768,1.445,44.753,NA,NA,0.07247599,0.013874388,0.00595918,0.184561372,NA,NA,0.092309558,0.184561372,1.999374453,3.186,0.000727449,806.54,0.531
r7_hn_ni,630,ni,7,2,2.2343,1.5303,0.6059,0,7.329,45.661,5.72,46.031,2.317,45.083,1.1,46.519,NA,NA,0.12780196,0.035457051,0.0066649,0.281858621,0,0,0.169923911,0.281858621,1.658734308,4.3705,0,1144.708,0.728416667
r7_hn_yi,630,yi,7,2,2.5317,1.6618,0.2505,0,7.178,44.674,4.917,44.219,1.467,43.055,0.974,46.94,NA,NA,0.124483689,0.024378606,0.00243987,0.1175847,0,0,0.151302165,0.1175847,0.77715147,4.444,0,1349.292,0.740666667
r7_ln_ni,70,ni,7,2,0.7994,0.6028,0.5591,0,5.129,45.023,3.63,43.532,1.016,44.177,1.087,43.968,NA,NA,0.02901822,0.006124448,0.006077417,0.245825088,0,0,0.041220085,0.245825088,5.963721036,1.9613,0,377.582,0.326883333
r7_ln_yi,70,yi,7,2,1.4818,0.9934,0.1723,0,6.125,44.084,4.802,44.481,1.281,34.142,0.78,47.173,NA,NA,0.071156036,0.012725454,0.00134394,0.081279079,0,0,0.08522543,0.081279079,0.953695147,2.6475,0,779.981,0.44125
r8_hn_ni,630,ni,8,2,2.7198,2.0245,1.5063,0,7.172,45.174,5.285,44.894,1.562,44.222,0.905,42.429,NA,NA,0.14374143,0.03162269,0.013632015,0.639108027,0,0,0.188996135,0.639108027,3.381593105,6.2506,0,1259.96,1.041766667
r8_hn_yi,630,yi,8,2,2.9424,2.3168,0.7872,0.0111,6.073,46.258,5.394,45.735,1.447,44.831,1.519,45.847,3.33,48.202,0.158713056,0.033524096,0.011957568,0.360907584,0.00036963,0.005350422,0.20456435,0.366258006,1.7904293,6.0575,0.01410061,1278.628,1.009583333
r8_ln_ni,70,ni,8,2,1.0159,0.7806,0.7361,0,4.163,44.034,3.957,44.094,1.565,43.664,1.252,44.437,NA,NA,0.040199163,0.01221639,0.009215972,0.327100757,0,0,0.061631525,0.327100757,5.307361079,2.5326,0,404.542,0.4221
r8_ln_yi,70,yi,8,2,1.8276,1.3884,0.2616,0,5.698,44.996,3.852,43.676,1.319,44.701,0.997,45.584,NA,NA,0.070399152,0.018312996,0.002608152,0.119247744,0,0,0.0913203,0.119247744,1.305818575,3.4776,0,924.151,0.5796
r9_hn_ni,630,ni,9,3,2.354,1.747,1.1257,0,6.621,45.112,5.163,45.027,1.51,44.005,0.836,46.887,NA,NA,0.12153702,0.0263797,0.009410852,0.527806959,0,0,0.157327572,0.527806959,3.354828097,5.2267,0,1079.075,0.871116667
r9_hn_yi,630,yi,9,3,2.2805,1.7133,0.3273,0.0077,7.456,45.658,5.744,44.773,1.947,43.508,1.015,45.228,1.215,39.442,0.13099192,0.033357951,0.003322095,0.148031244,9.36E-05,0.003037034,0.167765521,0.151068278,0.900472738,4.3288,0.023525817,1178.801,0.721466667
r9_ln_ni,70,ni,9,3,0.8765,0.639,1.543,0,3.316,43.915,2.646,42.24,0.951,43.335,0.972,42.784,NA,NA,0.02319219,0.00607689,0.01499796,0.66015712,0,0,0.04426704,0.66015712,14.91306218,3.0585,0,354.454,0.50975
r9_ln_yi,70,yi,9,3,1.6366,1.3109,1.375,0.0611,5.01,45.379,4.509,44.145,1.564,44.296,0.831,45.642,2.988,48.361,0.073794294,0.020502476,0.01142625,0.6275775,0.001825668,0.029548571,0.107548688,0.657126071,6.110033355,4.3836,0.044436364,750.202,0.7306
r10_hn_ni,630,ni,10,3,2.697,2.1988,0.9091,0,6.459,45.558,4.857,45.711,0.991,44.586,1.112,45.302,NA,NA,0.13099329,0.021790108,0.010109192,0.411840482,0,0,0.16289259,0.411840482,2.528294762,5.8049,0,1261.97,0.967483333
r10_hn_yi,630,yi,10,3,2.0704,1.6318,2.1345,0.0285,6.088,45.444,5.612,45.378,1.435,42.612,0.77,44.76,3.335,49.221,0.116190848,0.02341633,0.01643565,0.9554022,0.000950475,0.014027985,0.156993303,0.969430185,6.174977954,5.8652,0.013352073,989.149,0.977533333
