id,co2,inoc,n.trt,rep,sow_date,rack,germ_date,thin_date,harvest_date,focal.area,tla,focal.biomass,leaf.biomass,chlor.biomass,stem.biomass,root.biomass,nodule.biomass,total.biomass,bvr,nmass.focal,nmass.nod,nmass.tl,nmass.tr,nmass.ts,nmass.chl,cmass.focal,cmass.nod,cmass.tl,cmass.tr,cmass.ts,cmass.chl,chlA.ugml,chlB.ugml,chlA.gml,chlB.gml,chlA.g,chlB.g,chlA.gm2,chlB.gm2,chlA.mmolm2,chlB.mmolm2,chl.marea,chlA.mmolg,chlB.mmolg,chl.mmolg,chl.mmolm2,chlA.chlB,disk.area,chl.leaf.area,tleaf,anet,anet.growth,gsw,gsw.growth,ci.ca,vcmax25,jmax25,jmax25.vcmax25,rd25,tpu,tleaf_wk6,anet_wk6,gsw_wk6,ci.ca_wk6,vcmax25_wk6,jmax25_wk6,jmax25.vcmax25_wk6,rd25_wk6,tpu_wk6,leaf.d13c,leaf.d15n,ref.15n,ndfa,chi,chi.assume,beta,marea,marea.chl,narea,narea.chl,p.rubisco,p.bioe,p.lightharv,p.photo,p.structure,pnue,pnue.growth,iwue,iwue.growth,narea.chi,vcmax.chi,stomlim,leaf.totaln,stem.totaln,root.totaln,root.totalc,nod.totaln,nod.totalc,wpn,cbg,ncost
e_y_0_1,elv,inoc,0,1,6/17/22,6b,6/23/22,7/2/22,8/6/22,24.6,276.73,0.183,1.763,0.134,0.582,1.308,0.319,4.106,0.684,0.021,0.0637,0.02,0.0139,0.0198,0.0233,0.4204,0.4604,0.4132,0.4139,0.4058,0.4314,2.6576,0.4311,2.66E-06,4.31E-07,2.66E-05,4.31E-06,0.088588333,0.014369667,0.099146437,0.015834867,60.63348416,0.001635176,2.61E-04,0.001896333,0.114981304,6.164953954,3,22.1,25.02,20.689,28.815,0.358,0.236,0.725,97.98,173.197,1.768,3.436,10.737,26.745,26.108,0.465,0.725,117.931,220.226,1.867,3.436,13.383,-24.99,-0.74,-1.5875,100,0.669582442,0.57634789,168.7599978,74.3902,60.6335,1.5585,1.2703,0.4907,0.0884,0.0329,0.612,0.091,185.8521,258.8491,57.7905,122.0975,2.3275,146.33,0.2849,0.042,0.0115,0.0181,0.5413,0.0203,0.1469,0.0919,0.6882,7.4848
e_y_0_2,elv,inoc,0,2,6/17/22,5t,6/21/22,7/2/22,8/6/22,24,331.23,0.156,2.017,0.172,0.63,1.139,0.371,4.329,0.722,0.0226,0.0571,0.0229,0.0145,0.0166,0.0221,0.4197,0.4048,0.4503,0.4194,0.4134,0.4331,3.2879,0.8047,3.29E-06,8.05E-07,3.29E-05,8.05E-06,0.109597556,0.026823111,0.122659574,0.029558124,75.77092511,0.001618821,3.90E-04,0.00200892,0.152217698,4.0859375,3,22.7,25.011,20.708,31.23,0.334,0.294,0.709,96.124,180.354,1.876,2.531,11.367,26.779,34.765,0.581,0.717,79.545,156.648,1.969,2.531,10.626,-25.56,-1.24,-1.5875,56.73469388,0.695970803,0.602681713,215.4271169,65,75.7709,1.4658,1.7086,0.5118,0.0979,0.0324,0.6421,0.0802,197.7909,298.291,62,106.2245,2.1061,138.115,0.2914,0.0536,0.0105,0.0165,0.4777,0.0212,0.1502,0.1018,0.6278,6.1693
e_y_0_3,elv,inoc,0,3,6/17/22,4t,6/22/22,7/2/22,8/6/22,24.7,378.36,0.147,2.098,0.152,0.724,1.391,0.401,4.766,0.794,0.0346,0.0605,0.0311,0.0138,0.0193,0.0247,0.4326,0.4248,0.4522,0.4239,0.4083,0.4304,2.4006,1.6836,2.40E-06,1.68E-06,2.40E-05,1.68E-05,0.080019556,0.056119111,0.089556419,0.061841285,68.46846847,0.001307995,9.03E-04,0.002211203,0.151397704,1.425887794,3,22.2,25.01,21.054,33.211,0.258,0.171,0.626,100.959,182.416,1.807,1.105,11.732,27.314,22.055,0.361,0.711,93.295,172.207,1.846,1.105,11.464,-24.42,-1.14,-1.5875,73.06122449,0.643224917,0.550044838,133.5211245,59.5142,68.4685,2.0604,2.3704,0.3824,0.0704,0.0232,0.4761,0.0505,143.059,225.6641,81.6047,194.2164,3.2032,156.9575,0.3471,0.0755,0.014,0.0191,0.5897,0.0243,0.1704,0.1329,0.7601,5.7185
e_y_0_4,elv,inoc,0,4,6/17/22,6t,6/22/22,7/2/22,8/6/22,19.5,282.95,0.113,1.707,0.096,0.783,1.201,0.332,4.119,0.687,0.0285,0.0597,0.0242,0.0166,0.0173,0.0309,0.4221,0.4238,0.4195,0.4154,0.4122,0.4333,2.8606,0.561,2.86E-06,5.61E-07,2.86E-05,5.61E-06,0.095352889,0.018700778,0.106717204,0.020607599,49.48453608,0.002156577,4.16E-04,0.002573022,0.127324803,5.098872893,3,19.4,25.023,19.768,28.016,0.411,0.36,0.766,89.374,165.96,1.857,3.421,10.486,26.96,22.799,0.289,0.638,119.558,221.85,1.856,3.421,14.359,-26.09,-0.78,-1.5875,100,0.720535063,0.627195204,273.3656784,57.9487,49.4845,1.6515,1.4103,0.4224,0.0799,0.0328,0.5351,0.0607,167.5722,237.4901,48.0973,77.8222,2.2921,124.0384,0.2427,0.0473,0.0135,0.02,0.4989,0.0198,0.1407,0.1006,0.6396,6.357
e_y_35_5,elv,inoc,35,5,6/17/22,2b,6/22/22,7/2/22,8/6/22,22,257.68,0.112,1.456,0.076,0.524,0.936,0.298,3.29,0.548,0.0369,0.0626,0.0272,0.0119,0.0175,0.0324,0.4264,0.4358,0.4349,0.4295,0.4057,0.4299,1.6252,0.6427,1.63E-06,6.43E-07,1.63E-05,6.43E-06,0.054172667,0.021423333,0.060629055,0.023607759,45.78313253,0.001324266,5.16E-04,0.001839909,0.084236814,2.528675899,3,16.6,25.008,23.363,35.49,0.329,0.329,0.67,107.692,205.409,1.907,1.195,12.182,27.32,22.21,0.296,0.655,103.253,180.11,1.744,1.195,11.891,-25.26,0.49,16.71,91.71614362,0.682078345,0.588817967,189.1881214,50.9091,45.7831,1.8796,1.6903,0.4472,0.0869,0.0181,0.5522,0.0445,174.0202,264.3486,71.0122,107.8723,2.7556,157.888,0.3205,0.0465,0.0092,0.0111,0.402,0.0186,0.1299,0.0855,0.5318,6.2223
e_y_35_6,elv,inoc,35,6,6/17/22,1t,6/23/22,7/2/22,8/6/22,22,312.32,0.104,1.521,0.104,0.547,1.284,0.246,3.702,0.617,0.0276,0.0594,0.027,0.0134,0.0194,0.0282,0.4172,0.452,0.4456,0.4496,0.4052,0.4302,2.0986,0.6409,2.10E-06,6.41E-07,2.10E-05,6.41E-06,0.069953222,0.021364444,0.078290363,0.023542866,47.05882353,0.00166367,5.00E-04,0.002163956,0.101833229,3.274282297,3,22.1,25.005,16.457,25.748,0.277,0.251,0.726,73.592,143.073,1.944,1.927,9.231,26.542,20.185,0.334,0.716,89.815,169.031,1.882,1.927,10.916,-25.3,2.8,16.71,78.65422675,0.683930179,0.590665973,192.4572795,47.2727,47.0588,1.3028,1.2969,0.4409,0.0873,0.0286,0.5568,0.0579,176.8434,276.6825,59.4116,102.5817,1.9049,107.6016,0.2648,0.0468,0.0106,0.0172,0.5772,0.0146,0.1112,0.0893,0.6884,7.7108
e_y_35_7,elv,inoc,35,7,6/17/22,5t,6/22/22,7/2/22,8/6/22,18.8,402.22,0.105,2.294,0.122,0.85,1.721,0.388,5.375,0.896,0.0354,0.0604,0.0247,0.012,0.0158,0.0307,0.4292,0.458,0.4469,0.4139,0.423,0.4333,3.2001,0.7133,3.20E-06,7.13E-07,3.20E-05,7.13E-06,0.106668889,0.023776778,0.119381864,0.026201172,53.04347826,0.002250642,4.94E-04,0.002744598,0.145583036,4.486263441,3,23,24.991,17.165,28.478,0.247,0.251,0.685,87.76,163.023,1.858,3.656,10.986,27.458,38.36,0.661,0.718,92.109,167.76,1.821,3.656,NA,-24.94,0.8,16.71,89.96324569,0.667269146,0.574039374,165.2680181,55.8511,53.0435,1.9777,1.8783,0.3463,0.0656,0.0282,0.4401,0.0481,121.5107,201.5952,69.4939,113.4582,2.9639,131.5211,0.3225,0.0648,0.0135,0.0207,0.7123,0.0234,0.1777,0.1224,0.89,7.2735
e_y_35_8,elv,inoc,35,8,6/17/22,5t,6/22/22,7/2/22,8/6/22,21.1,275.1,0.118,1.488,0.137,0.549,0.993,0.3,3.467,0.578,0.0277,0.061,0.0273,0.0137,0.0184,0.029,0.4226,0.4628,0.4407,0.4157,0.4122,0.4368,3.2073,0.8843,3.21E-06,8.84E-07,3.21E-05,8.84E-06,0.106910389,0.029475278,0.119652146,0.032480719,54.58167331,0.002192167,5.95E-04,0.002787252,0.152132865,3.627120657,3,25.1,25.016,18.632,27.97,0.324,0.293,0.731,80.813,153.905,1.904,1.776,9.903,27.288,40.699,0.788,0.744,85.324,165.138,1.935,1.776,11.514,-25.74,0.95,16.71,89.11506927,0.704310385,0.611004059,233.267053,55.9242,54.5817,1.5502,1.513,0.4069,0.079,0.0366,0.5224,0.0615,168.2654,252.5967,57.5062,95.4608,2.201,114.7406,0.2524,0.0477,0.0101,0.0136,0.4128,0.0183,0.1388,0.0897,0.5516,6.1503
e_y_70_9,elv,inoc,70,9,6/17/22,4t,6/23/22,7/2/22,8/6/22,21.9,485.89,0.124,3.088,0.116,1.137,1.857,0.481,6.679,1.113,0.0287,0.0594,0.0228,0.0153,0.0168,0.0259,0.4262,0.4551,0.4391,0.4232,0.4101,0.4357,1.7091,0.8314,1.71E-06,8.31E-07,1.71E-05,8.31E-06,0.056971,0.027713,0.063760898,0.030538751,53.21100917,0.001198265,5.74E-04,0.001772183,0.094299649,2.055750009,3,21.8,25.009,17.628,28.53,0.26,0.252,0.691,91.651,167.641,1.829,3.973,10.891,27.562,20.947,0.262,0.637,114.268,206.748,1.809,3.973,13.71,-24.68,3.11,28.28,86.03657494,0.655243827,0.562038908,148.4144908,56.621,53.211,1.6228,1.525,0.4408,0.0822,0.0225,0.5455,0.0598,152.0818,246.1365,67.8,113.2143,2.4766,139.8731,0.3298,0.0774,0.0191,0.0284,0.7858,0.0286,0.2189,0.1535,1.0047,6.546
e_y_70_10,elv,inoc,70,10,6/17/22,6b,6/22/22,7/2/22,8/6/22,20.5,230.68,0.111,1.264,0.094,0.517,1.152,0.245,3.272,0.545,0.0238,0.0595,0.022,0.0164,0.0152,0.0304,0.4212,0.4542,0.4407,0.4127,0.4101,0.4409,3.1623,0.6888,3.16E-06,6.89E-07,3.16E-05,6.89E-06,0.105409,0.022961,0.117971819,0.025302214,NA,NA,NA,NA,0.143274033,4.590784374,3,NA,25.012,18.412,24.623,0.405,0.393,0.779,84.042,154.735,1.841,3.715,9.367,26,22.139,0.431,0.75,103.565,193.005,1.864,4.092,12.131,-26.44,4.39,28.28,81.66125449,0.736771406,0.643397992,322.2366135,54.1463,NA,1.2871,NA,0.5096,0.0956,NA,NA,0.0708,200.2768,267.8371,45.4617,62.6539,1.7469,114.0679,0.2344,0.0327,0.0079,0.0189,0.4755,0.0146,0.1113,0.074,0.5868,7.9259
