YEAR,OTC,OZONE,NITROGEN,TREATMENT,CODE,Leaves n.,Height (cm),Diameter (cm),Shoots (g),Roots (g),Leaves (g),Root/Shoot,Root+Shoot Biomass,TOTAL Biomass (Root+Shoot+Leave)
2012,1,CF,-N,CTRL,1Q2,185,120,15,25.23,35.16,14.42,1.39,60.39,74.81
2012,1,CF,-N,CTRL,1Q3,97,121,13.11,29.01,43.47,7.56,1.5,72.47,80.03
2012,1,CF,-N,CTRL,1Q6,56,93,10.01,22.41,30.38,4.36,1.36,52.8,57.16
2012,1,CF,-N,CTRL,1Q9,183,111,13.81,42.55,72.34,14.26,1.7,114.89,129.15
2012,1,CF,+N,CTRL x Ndep,1Q10,60,100,9.32,44.46,58.13,4.37,1.31,102.59,106.95
2012,1,CF,+N,CTRL x Ndep,1Q13,53,88,10.74,34.23,43.61,3.86,1.27,77.85,81.7
2012,1,CF,+N,CTRL x Ndep,1Q16,110,101,14.1,34.84,51.72,8,1.48,86.57,94.57
2012,1,CF,+N,CTRL x Ndep,1Q18,258,94,14.72,40.78,57.52,18.77,1.41,98.3,117.07
2012,2,OZ++,-N,OZ++,2Q1,173,108,10.04,30.21,72.47,11.36,2.4,102.68,114.03
2012,2,OZ++,-N,OZ++,2Q2,229,89,13.6,41.74,61.6,15.03,1.48,103.34,118.37
2012,2,OZ++,-N,OZ++,2Q6,96,103,14.58,37.84,50.49,6.3,1.33,88.32,94.62
2012,2,OZ++,-N,OZ++,2Q9,52,98,11.46,29.37,29.83,3.41,1.02,59.2,62.61
2012,2,OZ++,+N,OZ++ x Ndep,2Q10,137,102,12.62,37.54,46.6,10.66,1.24,84.14,94.8
2012,2,OZ++,+N,OZ++ x Ndep,2Q12,66,104,11.93,31.63,39.18,5.14,1.24,70.8,75.94
2012,2,OZ++,+N,OZ++ x Ndep,2Q15,127,94,12.47,40.26,76.65,9.88,1.9,116.91,126.79
2012,2,OZ++,+N,OZ++ x Ndep,2Q18,202,121,12.8,49.78,59.92,15.72,1.2,109.7,125.42
2012,3,CF,-N,CTRL,3Q1,94,107,11.03,23.54,27.95,9.17,1.19,51.49,60.66
2012,3,CF,-N,CTRL,3Q4,91,85,11.34,31.9,55.64,8.88,1.74,87.54,96.43
2012,3,CF,-N,CTRL,3Q6,68,87,16.01,36.24,55.25,6.64,1.52,91.49,98.13
2012,3,CF,-N,CTRL,3Q8,121,110,15.45,37.23,60.63,11.81,1.63,97.87,109.67
2012,3,CF,+N,CTRL x Ndep,3Q10,90,93,13.42,32.59,58.31,9.17,1.79,90.9,100.08
2012,3,CF,+N,CTRL x Ndep,3Q12,302,103,14.17,51.61,77.35,30.78,1.5,128.96,159.75
2012,3,CF,+N,CTRL x Ndep,3Q15,111,96,14.91,53.35,78.6,11.31,1.47,131.95,143.26
2012,3,CF,+N,CTRL x Ndep,3Q17,68,102,15.71,52.85,68.07,6.93,1.29,120.92,127.85
2012,4,OZ++,+N,OZ++ x Ndep,4Q1,68,88,11.07,26.48,32.4,7.71,1.22,58.88,66.59
2012,4,OZ++,+N,OZ++ x Ndep,4Q4,186,90,14.99,55.5,106.15,21.08,1.91,161.65,182.74
2012,4,OZ++,+N,OZ++ x Ndep,4Q6,86,90,15.91,46.9,116.34,9.75,2.48,163.24,172.99
2012,4,OZ++,+N,OZ++ x Ndep,4Q9,147,94,15.74,49.37,99.66,16.66,2.02,149.03,165.69
2012,4,OZ++,-N,OZ++,4Q11,125,109,14.02,34.67,57.41,12.7,1.66,92.08,104.77
2012,4,OZ++,-N,OZ++,4Q13,88,93,13.12,29.55,37.46,8.94,1.27,67,75.94
2012,4,OZ++,-N,OZ++,4Q15,35,82,13.68,36.04,64.4,3.56,1.79,100.44,103.99
2012,4,OZ++,-N,OZ++,4Q18,69,95,13.9,31.48,30.54,7.01,0.97,62.02,69.03
2012,5,NF,-N,NF,5Q3,71,111,13.4,40.03,52.84,6.57,1.32,92.86,99.44
2012,5,NF,-N,NF,5Q4,109,102,12.58,32.5,68.67,10.09,2.11,101.17,111.26
2012,5,NF,-N,NF,5Q6,130,94,13.45,31.48,49.91,12.03,1.59,81.39,93.43
2012,5,NF,-N,NF,5Q9,146,121,14.36,52.69,69.22,13.51,1.31,121.92,135.43
2012,5,NF,+N,NF x Ndep,5Q10,75,114,11.76,42.83,68.18,8.62,1.59,111.01,119.63
2012,5,NF,+N,NF x Ndep,5Q12,147,113,14.6,53.73,116.5,16.9,2.17,170.23,187.12
2012,5,NF,+N,NF x Ndep,5Q15,111,107,13.25,41.57,61.44,12.76,1.48,103.01,115.77
2012,5,NF,+N,NF x Ndep,5Q18,169,107,17.17,49.3,80.93,19.42,1.64,130.23,149.66
2012,6,OZ+,+N,OZ+ x Ndep,6Q1,121,105,13.35,35.25,67.68,9.35,1.92,102.93,112.28
2012,6,OZ+,+N,OZ+ x Ndep,6Q3,70,92,11.9,25.97,39.93,5.41,1.54,65.9,71.31
2012,6,OZ+,+N,OZ+ x Ndep,6Q7,150,118,12.67,36.77,35.95,11.6,0.98,72.72,84.32
2012,6,OZ+,+N,OZ+ x Ndep,6Q9,157,102,11.73,30.14,34.94,12.14,1.16,65.08,77.21
2012,6,OZ+,-N,OZ+,6Q10,108,104,13.56,35.65,48.14,7.95,1.35,83.8,91.74
2012,6,OZ+,-N,OZ+,6Q11,107,101,9.75,22.8,29.21,7.87,1.28,52.01,59.88
2012,6,OZ+,-N,OZ+,6Q15,167,86,12.33,30.27,52.02,12.29,1.72,82.29,94.58
2012,6,OZ+,-N,OZ+,6Q17,80,103,12.43,27.03,29.7,5.89,1.1,56.73,62.61
2012,7,NF,-N,NF,7Q1,121,79,8.69,19.41,35.94,8.78,1.85,55.35,64.14
2012,7,NF,-N,NF,7Q4,93,104,13.84,42.36,60.49,6.75,1.43,102.84,109.59
2012,7,NF,-N,NF,7Q7,72,116,13.38,29.25,26.59,5.23,0.91,55.84,61.06
2012,7,NF,-N,NF,7Q8,137,125,14.07,45.76,52.16,9.94,1.14,97.92,107.86
2012,7,NF,+N,NF x Ndep,7Q10,202,120,13.16,43.28,58.87,12.1,1.36,102.15,114.25
2012,7,NF,+N,NF x Ndep,7Q12,152,109,17.07,42.04,51.8,9.11,1.23,93.85,102.95
2012,7,NF,+N,NF x Ndep,7Q14,112,125,11.67,37.24,34.03,6.71,0.91,71.28,77.98
2012,7,NF,+N,NF x Ndep,7Q15,150,102,12.84,34.47,55.3,8.99,1.6,89.78,98.76
2012,8,OZ+,-N,OZ+,8Q10,60,78,12.16,19.74,26.47,11.54,1.34,46.21,57.75
2012,8,OZ+,-N,OZ+,8Q13,121,80,12.22,33.19,34.94,9.62,1.05,68.13,77.75
2012,8,OZ+,-N,OZ+,8Q15,68,126,12.52,40.98,57.53,7.34,1.4,98.51,105.84
2012,8,OZ+,-N,OZ+,8Q18,138,82,12.05,22.92,34.02,11.9,1.48,56.94,68.83
2012,8,OZ+,+N,OZ+ x Ndep,8Q1,162,105,14.52,34.87,57.23,4.02,1.64,92.1,96.12
2012,8,OZ+,+N,OZ+ x Ndep,8Q4,135,114,12.13,33.27,45.13,8.1,1.36,78.4,86.49
2012,8,OZ+,+N,OZ+ x Ndep,8Q6,103,124,13.26,45.55,65.29,4.55,1.43,110.84,115.39
2012,8,OZ+,+N,OZ+ x Ndep,8Q9,167,97,14.3,46.84,76.7,9.24,1.64,123.54,132.78
2012,17,CF,+N,CTRL x Ndep,17Q4,146,95,12.82,39,75.93,11.83,1.95,114.93,126.76
2012,17,CF,+N,CTRL x Ndep,17Q5,126,123,11.1,25.92,27.84,10.21,1.07,53.76,63.97
2012,17,CF,+N,CTRL x Ndep,17Q7,78,118,15.42,44.52,62.2,6.32,1.4,106.72,113.05
2012,17,CF,+N,CTRL x Ndep,17Q9,88,102,12.72,40.5,55.8,7.13,1.38,96.3,103.43
2012,17,CF,-N,CTRL,17Q11,113,103,13.65,35.37,48.61,7.27,1.37,83.99,91.25
2012,17,CF,-N,CTRL,17Q12,87,101,15.14,47.29,76.05,5.6,1.61,123.34,128.94
2012,17,CF,-N,CTRL,17Q16,138,99,11.1,27.68,29.06,8.88,1.05,56.74,65.61
2012,17,CF,-N,CTRL,17Q18,116,102,11.74,33.39,39.24,7.46,1.18,72.63,80.09
2012,18,OZ++,+N,OZ++ x Ndep,18Q1,115,91,12.4,66.89,20.55,6.78,0.31,87.44,94.21
2012,18,OZ++,+N,OZ++ x Ndep,18Q4,141,85,11.82,34.78,58.62,8.31,1.69,93.41,101.71
2012,18,OZ++,+N,OZ++ x Ndep,18Q7,139,102,11.35,40.33,24.2,8.19,0.6,64.54,72.72
2012,18,OZ++,+N,OZ++ x Ndep,18Q8,104,109,13.27,38.15,54.04,6.13,1.42,92.19,98.32
