CO2,replication,nitrogen/ppm,species,tree ID,A400,A at treatment CO2,Ci at treatment CO2,gs at treatment CO2,E at treatment CO2,WUE at treatment CO2,Vcmax,Jmax,Rd,root mass(g),stem mass(g),leaf mass(g),leaf+petiole(g),shoot mass,total mass,leaf.area(cm2),height(cm),RCD(mm),SLAcm2/g,shoot/root,Nitrogen（%）,N(g/m2),N（mg/g）
elevated,1,10,white birch,b2t1-06,8.13333333333333,13.6333333333333,643.666666666667,332.333333333333,4.436667,3.07287730481763,40.201323,92.632734,1.755486,1.125,0.237,0.512,0.534,0.771,1.896,114.0476,7.8,3.225,222.74921875,0.685333333333333,1.31,0.588105317428863,13.1
elevated,1,10,white birch,b2t1-10,12.5666666666667,20.4,629,560.666666666667,6.013333,3.39246138539143,67.487782,147.824585,2.530649,0.975,0.228,0.279,0.297,0.525,1.5,80.2336,7.5,3.115,287.575627240143,0.538461538461539,2.44,0.848472460415587,24.4
elevated,1,10,white birch,b2t1-11,7.133333,11.36667,659.3333,362,5.98,1.90078093645485,41.57503,69.8058,1.573054,1.726,0.56,0.761,0.794,1.354,3.08,193.8051,13.2,4.91,254.67161629435,0.784472769409038,1.44,0.565434036565601,14.4
elevated,1,10,white birch,2b-t1-05,,,,,,,,,,0.881,0.356,0.53,0.548,0.904,1.785,121.0044,12.9,3.49,228.310188679245,1.0261066969353,,,
elevated,1,10,white birch,2b-t1-12,,,,,,,,,,0.961,0.242,0.427,0.443,0.685,1.646,109.5691,8.2,3.42,256.602107728337,0.712799167533819,,,
elevated,2,10,white birch,b3t1-05,5.7,10.1333333333333,603,151.666666666667,3.173333,3.19327764635268,35.95148,70.50624,1.681295,0.745,0.286,0.543,0.56,0.846,1.591,122.4602,11.8,3.3,225.525230202578,1.13557046979866,1.26,0.558695804841083,12.6
elevated,2,10,white birch,b3t1-11,6.966667,11.56667,614.3333,186.6667,4.056667,2.85127421107032,38.65908,77.39368,1.731714,0.883,0.256,0.52,0.538,0.794,1.677,116.8122,10.5,3.49,224.638846153846,0.89920724801812,1.06,0.47186852058261,10.6
elevated,2,10,white birch,b3t1-12,11.4,18.7,593.666666666667,283,4.363333,4.285714613118,56.39329,129.4204,1.336457,1.084,0.416,0.876,0.916,1.332,2.416,195.276,16,3.56,222.917808219178,1.22878228782288,1.71,0.767098875437842,17.1
elevated,2,10,white birch,3b-t1-04,,,,,,,,,,0.888,0.236,0.505,0.527,0.763,1.651,110.7895,13.3,2.67,219.385148514852,0.859234234234234,,,
elevated,2,10,white birch,3b-t1-07,,,,,,,,,,1.079,0.22,0.546,0.564,0.784,1.863,105.7538,9.9,2.83,193.688278388278,0.726598702502317,,,
elevated,1,80,white birch,b2t2-01,11.6,18.7,617.666666666667,424.333333333333,4.71,3.97027600849257,58.03194,121.5769,1.48234,1.778,0.797,1.034,1.096,1.893,3.671,217.47,13.2,5.78,210.31914893617,1.06467941507312,2.36,1.12210419828022,23.6
elevated,1,80,white birch,b2t2-03,9.36666666666667,15.7,605.333333333333,281.333333333333,3.986667,3.93812676102619,52.60527,105.6164,2.059257,1.776,0.931,0.958,1.01,1.941,3.717,244.3285,17.5,5.74,255.040187891441,1.09290540540541,2.86,1.12139189656548,28.6
elevated,1,80,white birch,b2t2-07,12.7666666666667,21.5,594.666666666667,394.333333333333,5.506667,3.90435811716961,73.14817,151.5725,1.288231,2.514,1.234,1.53,1.617,2.851,5.365,433.2893,25.8,6.8,283.195620915033,1.13404932378679,2.7,0.95340457288006,27
elevated,1,80,white birch,2b-t2-02,,,,,,,,,,2.094,1.287,1.656,1.752,3.039,5.133,497.4055,28.2,6.23,300.365640096618,1.4512893982808,,,
elevated,1,80,white birch,2b-t2-10,,,,,,,,,,1.606,0.789,1.524,1.604,2.393,3.999,390.4393,20.6,6.64,256.1937664042,1.49003735990037,,,
elevated,2,80,white birch,b3t2-03,10,15.3666666666667,644.666666666667,455,4.703333,3.26718662418049,43.85814,93.96714,0.950871,2.377,0.715,1.053,1.121,1.836,4.213,267.0576,15.9,5.09,253.615954415954,0.772402187631468,2.39,0.942369735967072,23.9
elevated,2,80,white birch,b3t2-09,13.1333333333333,21.0666666666667,623,553,4.99,4.22177688710756,66.63283,133.7173,1.346066,2.738,1.025,1.465,1.54,2.565,5.303,331.7697,18.1,7.03,226.463959044369,0.93681519357195,2.61,1.15250126819899,26.1
elevated,2,80,white birch,b3t2-12,15.46667,24.36667,599.3333,469,6.13,3.97498694942904,82.63401,169.4842,1.40082,1.881,0.932,1.49,1.573,2.505,4.386,344.1378,27.2,4.89,230.964966442953,1.33173843700159,2.16,0.935206768916405,21.6
elevated,2,80,white birch,3b-t2-01,,,,,,,,,,1.637,0.839,1.488,1.574,2.413,4.05,411.4749,23.2,5.73,276.528830645161,1.47403787416005,,,
elevated,2,80,white birch,3b-t2-04,,,,,,,,,,1.974,0.723,1.079,1.157,1.88,3.854,252.1262,19,5.39,233.666543095459,0.952380952380952,,,
elevated,1,150,white birch,b2t3-02,14.1,22.2333333333333,629.333333333333,733.666666666667,6.443333,3.4505951086702,67.13121,153.5197,1.613567,3.043,2.638,2.688,2.828,5.466,8.509,702.8502,7.19,7.13,261.477008928571,1.79625369700953,2.8,1.07083984610092,28
elevated,1,150,white birch,b2t3-03,13.6666666666667,21.7666666666667,591.333333333333,394.666666666667,5.73,3.79872018615475,70.47019,152.8444,1.286296,2.789,2.316,2.681,2.84,5.156,7.945,757.106,5.63,5.81,282.396866840731,1.84869128719971,2.41,0.853408901791823,24.1
elevated,1,150,white birch,b2t3-07,13.8666666666667,21.4333333333333,628,635.333333333333,6.4,3.34895833333333,65.42789,145.3257,1.539247,3.335,1.947,1.954,2.088,4.035,7.37,519.7969,8.03,8.31,266.016837256909,1.20989505247376,2.95,1.10895236197061,29.5
elevated,1,150,white birch,2b-t3-09,,,,,,,,,,2.655,1.743,2.015,2.12,3.863,6.518,561.3673,7.45,7.66,278.594193548387,1.45499058380414,,,
elevated,1,150,white birch,2b-t3-12,,,,,,,,,,3.113,2.477,2.7,2.851,5.328,8.441,768.2319,7.45,7.39,284.530333333333,1.71153228397045,,,
elevated,2,150,white birch,b3t3-01,11,18.4,618,428.333333333333,5.363333,3.43070251278449,59.12105,124.4387,1.895979,2.642,1.827,2.432,2.545,4.372,7.014,613.2648,50.4,5.83,252.164802631579,1.65480696442089,2.53,1.00331210922264,25.3
elevated,2,150,white birch,b3t3-09,11.7333333333333,20.0666666666667,574.666666666667,285,4.93,4.07031778228533,64.85215,164.0452,3.623465,2.669,2.587,2.989,3.112,5.699,8.368,841.4065,28.5,6.69,281.501003680161,2.13525665043087,2.13,0.756658048161025,21.3
elevated,2,150,white birch,b3t3-11,10.8,17.1666666666667,627,424.666666666667,5.503333,3.11932181219394,53.07586,109.0764,1.50794,4.058,2.853,2.805,2.99,5.843,9.901,576.1048,45.9,7.31,205.38495543672,1.43987185805816,2.41,1.17340629690987,24.1
elevated,2,150,white birch,3b-t3-02,,,,,,,,,,1.531,1.01,1.982,2.097,3.107,4.638,504.8206,33.3,5.46,254.702623612513,2.02939255388635,,,
elevated,2,150,white birch,3b-t3-04,,,,,,,,,,2.429,1.689,2.914,3.063,4.752,7.181,691.6377,46.6,6.4,237.34993136582,1.95636064223961,,,
elevated,1,220,white birch,b2t4-02,12.9666666666667,20.4666666666667,632.333333333333,627,6.45,3.17312661498709,63.71104,142.993,2.227063,3.114,3.22,3.227,3.412,6.632,9.746,896.4097,65.8,7.8,277.784226836071,2.12973667308927,3.2,1.15197325508637,32
elevated,1,220,white birch,b2t4-11,10.9333333333333,18.2333333333333,588.666666666667,288.666666666667,4.083333,4.46530648696379,54.30154,118.6867,1.683534,4.224,3.94,3.397,3.611,7.551,11.775,824.0071,57,8.06,242.56906093612,1.78764204545455,2.54,1.04712447259253,25.4
elevated,1,220,white birch,b2t4-12,13.1,20.1666666666667,605.333333333333,389.333333333333,5.103333,3.95166583616368,71.2392,125.4626,1.868183,4.461,3.056,2.804,2.978,6.034,10.495,743.281,45.8,7.27,265.078815977175,1.35261152208025,2.99,1.12796640839736,29.9
elevated,1,220,white birch,2b-t4-06,,,,,,,,,,2.955,3.098,4.044,4.25,7.348,10.303,1147.16,70,6.99,283.669634025717,2.48663282571912,,,
elevated,1,220,white birch,2b-t4-07,,,,,,,,,,3.923,3.697,3.266,3.459,7.156,11.079,930.2824,71.5,8.04,284.838456827924,1.82411419831761,,,
elevated,2,220,white birch,b3t4-04,15.5,24.3666666666667,595,453.666666666667,6.156667,3.95776914143102,77.59244,184.6317,1.724634,2.941,3.08,3.219,3.433,6.513,9.454,945.4375,67,7.64,293.705343274309,2.21455287317239,2.98,1.01462233093145,29.8
elevated,2,220,white birch,b3t4-08,11.2,19.3666666666667,595,350,5.456667,3.5491751038989,65.94635,139.7024,2.412032,4.033,2.716,3.279,3.447,6.163,10.196,877.1345,61,7.33,267.500609942056,1.5281428217208,2.86,1.0691564406599,28.6
elevated,2,220,white birch,b3t4-12,13.2666666666667,21.1333333333333,628,594,5.963333,3.54387946025038,63.90706,141.1664,1.689212,4.458,3.984,4.56,4.816,8.8,13.258,1122.5501,72.8,8.28,246.17326754386,1.97397936294302,2.09,0.848995514765889,20.9
elevated,2,220,white birch,3b-t4-05,,,,,,,,,,3.924,3.842,4.527,4.771,8.613,12.537,1031.1656,61.6,8.37,227.7812237685,2.19495412844037,,,
elevated,2,220,white birch,3b-t4-09,,,,,,,,,,3.086,2.61,3.63,3.842,6.452,9.538,1050.2582,58.6,7.43,289.327327823691,2.09073233959819,,,
elevated,1,290,white birch,b2t5-03,12.3,20.3666666666667,539.333333333333,231,4.203333,4.8453612089898,79.06026,140.5205,1.91442,4.588,6.459,5.018,5.314,11.773,16.361,1418.816,96.5,8.37,282.745316859307,2.56604184829991,2.81,0.993827247507781,28.1
elevated,1,290,white birch,b2t5-05,12.9,19.9,587.333333333333,325,4.666667,4.2642854096939,70.47144,127.7911,1.819593,4.756,5.027,4.825,5.129,10.156,14.912,1285.6698,75.2,9.55,266.460062176166,2.1354079058032,3.35,1.25722405550788,33.5
elevated,1,290,white birch,b2t5-12,13.5333333333333,20.8666666666667,614.333333333333,469.333333333333,5.77,3.61640670132872,71.56497,137.3083,1.994159,4.126,6.157,5.092,5.422,11.579,15.705,1268.7157,86.5,10.06,249.15862136685,2.80634997576345,3.12,1.25221434557797,31.2
elevated,1,290,white birch,2b-t5-02,,,,,,,,,,4.476,6.487,5.81,6.121,12.608,17.084,1691.2334,93.2,9.28,291.09008605852,2.81680071492404,,,
elevated,1,290,white birch,2b-t5-09,,,,,,,,,,3.203,4.397,4.642,4.935,9.332,12.535,1526.5471,75.2,8.17,328.855471779405,2.91351857633469,,,
