table,N,LightLevel,block,rep,spp,chl_wt,chl_area,A6491,A6491.1,A6491.2,A6651,A6651.1,A6651.2,tla,focal.area,dry.focal.wt,fresh.focal.wt,sla,stem.wt,leaf.wt,roots.wt,nod.wt,biomass,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK
3,0 ppm,zero,one,1,Cotton,0.0401,2.121,0.174,0.175,0.169,0.489,0.489,0.488,107.429,25.945,0.1361,0.4858,190.6318883,0.5971,0.6127,0.557,0,1.7668,2.054070789,38.75500862,17.10707445,16.76486959,97.277436,105.9748862,25.00777595,298.157776
4,0 ppm,thirty,one,1,Cotton,0.0259,1.947,0.038,0.032,0.051,0.337,0.339,0.352,128.606,31.142,0.1303,0.4663,239.0023024,0.5401,0.5263,0.2569,0,1.3233,2.164477027,NA,18.90294373,16.06172895,92.91380201,113.7831461,24.98862614,298.1386261
1,0 ppm,fifty,one,1,Cotton,0.0198,1.889,0.085,0.096,0.089,0.231,0.287,0.236,190.59,48.41,0.1628,0.5755,297.3587224,0.6742,0.6024,0.3108,0,1.5874,2.2063029,38.81658106,9.608018051,9.584695661,49.99479911,58.911233,24.99122182,298.1412218
2,0 ppm,eighty,one,1,Cotton,0.0157,1.751,0.147,0.155,0.147,0.37,0.376,0.368,192.992,45.66,0.0989,0.5081,461.6784631,0.4222,0.4435,0.0747,0,0.9404,3.266292687,36.82450479,10.59762422,10.1596579,56.75991456,62.48158399,24.92285161,298.0728516
3,70 ppm,zero,one,1,Cotton,0.0341,2.103,0.179,0.182,0.176,0.493,0.494,0.486,254.638,51.672,0.2589,0.8721,199.5828505,1.4222,1.3104,0.7725,0,3.5051,2.782346237,38.59301024,23.36831942,21.16036211,134.6385171,146.4178286,25.00245308,298.1524531
4,70 ppm,thirty,one,1,Cotton,0.0234,1.877,0.095,0.093,0.101,0.225,0.226,0.235,176.479,51.166,0.1673,0.7329,305.8338314,0.405,0.6335,0.1718,0,1.2103,3.933619251,37.06133189,12.04058248,14.16042968,59.20192872,82.81316099,24.99174182,298.1417418
1,70 ppm,fifty,one,1,Cotton,0.0188,1.805,0.119,0.106,0.131,0.319,0.306,0.335,384.797,83.279,0.2572,1.0539,323.7908243,1.0403,1.1358,0.3551,0,2.5312,3.342527328,37.89807645,13.88278645,14.07913029,69.35070269,86.5671758,24.98080909,298.1308091
2,70 ppm,eighty,one,1,Cotton,0.0187,1.6,0.141,0.165,0.155,0.354,0.378,0.366,314.166,68.341,0.1579,0.864,432.8119063,0.4733,0.7634,0.0837,0,1.3204,3.887580876,35.03290929,13.33314245,10.55612156,63.85274053,75.35736879,25.01514751,298.1651475
3,210 ppm,zero,one,1,Cotton,0.0352,1.883,0.226,0.227,0.23,0.671,0.673,0.678,242.855,46.629,0.2347,0.8876,198.6749041,0.9154,1.0979,0.7178,0,2.7311,4.409956432,38.06576786,28.92871764,27.76624749,177.548701,202.6920855,24.97767771,298.1276777
4,210 ppm,thirty,one,1,Cotton,0.0258,1.903,0.021,0.017,0.028,0.333,0.327,0.338,187.501,58.311,0.2975,0.9025,196.0033613,0.686,0.8229,0.2728,0,1.7817,3.798074243,35.53716472,18.6460478,22.74616699,95.58407768,138.8869562,25.00094318,298.1509432
1,210 ppm,fifty,one,1,Cotton,0.0176,1.749,0.074,0.075,0.083,0.25,0.25,0.257,583.701,79.508,0.2973,1.0319,267.4335688,1.665,1.8709,0.511,0,4.0469,3.913345488,38.51440827,7.699158076,15.85441944,60.3602536,100.1020805,24.99152727,298.1415273
2,210 ppm,eighty,one,1,Cotton,0.0213,1.772,0.148,0.138,0.169,0.367,0.352,0.38,329.789,72.192,0.1729,1.0323,417.5361481,0.4377,0.7727,0.1517,0,1.3621,4.39821101,35.39103554,13.79897141,13.27763928,70.65447092,81.88452932,25.0098217,298.1598217
3,630 ppm,zero,one,1,Cotton,0.026,1.81,0.16,0.158,0.157,0.43,0.428,0.427,365.272,60.841,0.2656,0.9825,229.0700301,1.0525,1.5765,0.7293,0,3.3583,4.805597289,40.42719403,22.12846371,21.99790643,142.8188491,173.2360869,24.99910968,298.1491097
4,630 ppm,thirty,one,1,Cotton,0.0228,1.835,0.019,0.032,0.022,0.32,0.336,0.325,404.17,25.117,0.094,0.4144,267.2021277,0.8613,1.5387,0.1817,0,2.5817,5.094472981,38.18465997,17.91137737,20.60460868,97.78379531,128.683655,24.96821727,298.1182173
1,630 ppm,fifty,one,1,Cotton,0.0203,1.911,0.11,0.101,0.111,0.303,0.294,0.307,758.797,91.352,0.2666,1.1742,342.6556639,1.4597,2.1581,0.2274,0,3.8452,4.574431142,37.91465639,15.4675565,14.31423572,76.29429232,97.64998318,24.94874545,298.0987455
2,630 ppm,eighty,one,1,Cotton,0.0149,1.289,0.12,0.11,0.149,0.286,0.277,0.316,157.753,46.281,0.0905,0.5527,511.3922652,0.2549,0.366,0.0387,0,0.6596,NA,NA,9.123234047,8.459106423,46.14357223,51.34184981,24.97909179,298.1290918
3,0 ppm,zero,one,2,Cotton,0.0283,2.03,0.39,0.409,0.387,0.147,0.158,0.146,221.707,32.042,0.1701,0.5879,188.3715461,1.0732,1.1547,0.7469,0,2.9748,2.394706906,39.65379737,17.87479194,16.49881883,96.68314863,109.8537493,25.05712962,298.2071296
4,0 ppm,thirty,one,2,Cotton,0.0261,1.835,0.316,0.329,0.322,0.118,0.126,0.122,190.524,18.459,0.0907,0.3401,203.5170893,0.7685,0.7934,0.3502,0,1.9121,2.426471092,40.67239609,11.63083949,13.75367202,64.7410701,81.40064983,25.06836716,298.2183672
1,0 ppm,fifty,one,2,Cotton,0.0264,2.06,0.34,0.348,0.35,0.128,0.132,0.136,243.336,27.651,0.1162,0.4453,237.9604131,0.7328,1.0049,0.4762,0,2.2139,2.634273812,39.75860096,13.12742492,12.00718586,66.12123319,76.71165357,24.94581965,298.0958196
2,0 ppm,eighty,one,2,Cotton,0.0207,2.001,0.304,0.305,0.309,0.119,0.119,0.124,168.379,21.367,0.0538,0.275,397.1561338,0.3702,0.603,0.2338,0,1.207,4.288534131,39.78327065,7.886427904,10.5849145,51.42336106,60.80114611,25.21102639,298.3610264
3,70 ppm,zero,one,2,Cotton,0.0254,1.83,0.511,0.503,0.534,0.196,0.191,0.22,225.611,31.531,0.1365,0.5952,230.996337,0.7029,1.1533,0.4729,0,2.3291,4.218868817,38.21042241,18.53062052,15.67783697,96.95784599,119.2752979,25.02093372,298.1709337
4,70 ppm,thirty,one,2,Cotton,0.024,2.013,0.428,0.438,0.425,0.171,0.174,0.161,301.252,32.81,0.1343,0.503,244.3037975,0.9866,1.109,0.4924,0,2.588,NA,NA,17.63440916,17.25047254,95.51065566,111.7522778,25.01073314,298.1607331
1,70 ppm,fifty,one,2,Cotton,0.025,1.891,0.406,0.378,0.389,0.174,0.149,0.159,226.239,20.978,0.0917,0.3793,228.7677208,0.6315,0.9012,0.2551,0,1.7878,3.452274655,38.81624051,12.79141805,14.19626104,69.62170465,86.18613621,24.98719853,298.1371985
2,70 ppm,eighty,one,2,Cotton,0.0277,2,0.609,0.614,0.615,0.236,0.242,0.241,152.914,47.874,0.1533,0.7173,312.2896282,0.4739,0.5444,0.1615,0,1.1798,3.327362789,34.55759645,14.0709573,13.33653992,71.071888,84.04678813,24.97329971,298.1232997
3,210 ppm,zero,one,2,Cotton,0.0308,2.052,0.593,0.599,0.642,0.225,0.223,0.235,263.971,54.122,0.2597,1.1645,208.4020023,0.7557,1.2493,0.5056,0,2.5106,4.693364895,37.91005558,19.29603727,20.96071087,117.1522892,141.1535628,25.16317918,298.3131792
4,210 ppm,thirty,one,2,Cotton,0.0199,1.953,0.444,0.452,0.445,0.164,0.158,0.165,314.586,72.93,0.2388,1.0573,305.4020101,0.7344,1.3532,0.2816,0,2.3692,4.841890118,39.41221866,15.40534635,16.25706048,92.70834563,102.7739407,24.96999413,298.1199941
1,210 ppm,fifty,one,2,Cotton,0.0284,2.072,0.579,0.6,0.577,0.224,0.242,0.221,234.761,71.734,0.2944,1.2943,243.6616848,0.9221,0.9916,0.3741,0,2.2878,3.926729363,34.63997138,13.8119706,12.7985914,75.09272155,79.44611481,25.01260968,298.1626097
2,210 ppm,eighty,one,2,Cotton,0.0282,1.899,0.505,0.509,0.509,0.194,0.199,0.2,239.693,66.791,0.2356,1.141,283.4932088,0.612,0.7626,0.2348,0,1.6094,3.64058714,33.83031522,14.15525182,12.52634284,75.35205234,86.1304222,24.97661261,298.1266126
3,630 ppm,zero,one,2,Cotton,0.0295,1.968,0.671,0.643,0.654,0.252,0.232,0.247,332.127,22.454,0.1356,0.4961,165.5899705,1.1454,1.7038,0.855,0,3.7042,4.798230299,38.97466636,21.05673318,23.88140804,159.377408,174.3837114,24.97273167,298.1227317
4,630 ppm,thirty,one,2,Cotton,0.0184,1.861,0.405,0.431,0.436,0.153,0.161,0.179,372.533,46.052,0.1706,0.8038,269.9413834,0.7167,1.3589,0.3114,0,2.387,4.682355289,37.62225784,15.1153439,14.40780721,73.66722603,91.07140169,25.15669795,298.3066979
1,630 ppm,fifty,one,2,Cotton,0.0274,2.175,0.462,0.476,0.48,0.172,0.178,0.182,258.806,73.388,0.2848,1.1011,257.6825843,1.0312,1.0264,0.5302,0,2.5878,3.739359102,34.32095981,8.037002724,9.163213026,52.08755984,51.82722349,24.97365425,298.1236543
2,630 ppm,eighty,one,2,Cotton,0.0262,2.05,0.614,0.619,0.619,0.2223,0.238,0.242,246.379,71.422,0.2335,1.0754,305.875803,0.6458,0.8044,0.2893,0,1.7395,3.587818455,34.083494,14.28421495,13.80998897,75.28772535,86.2633667,25.02517273,298.1751727
3,0 ppm,zero,one,3,Cotton,0.0269,1.995,0.178,0.185,0.192,0.437,0.446,0.458,193.61,30.675,0.1571,0.5103,195.2577976,1.0567,0.9926,0.0935,0,2.1428,2.373388312,43.01979344,17.65301826,14.49945868,96.5887219,102.1549601,24.96699619,298.1169962
4,0 ppm,thirty,one,3,Cotton,0.0208,1.767,0.129,0.13,0.13,0.328,0.328,0.33,142.611,40.571,0.1783,0.6005,227.5434661,0.6426,0.6155,0.0631,0,1.3212,3.243522294,43.495096,12.92302346,11.45062385,63.89556122,76.12303746,25.03043138,298.1804314
1,0 ppm,fifty,one,3,Cotton,0.0184,1.794,0.126,0.126,0.126,0.305,0.304,0.305,204.511,57.824,0.2074,0.7892,278.804243,0.7211,0.7513,0.1613,0,1.6337,2.7288264,37.80031545,13.12728092,11.69411996,65.48154174,75.50457234,24.64690645,297.7969065
2,0 ppm,eighty,one,3,Cotton,0.0155,1.777,0.142,0.142,0.127,0.334,0.317,0.316,225.398,45.232,0.115,0.5198,393.3217391,0.5182,0.6091,0.151,0,1.2783,2.849183114,35.66521683,9.949223168,9.58856648,47.88101204,59.2051516,25.62659589,298.7765959
3,70 ppm,zero,one,3,Cotton,0.0215,1.926,0.157,0.165,0.168,0.387,0.395,0.401,231.157,61.982,0.2511,0.8835,246.8418957,0.9043,1.0015,0.3952,0,2.301,2.77389182,37.88100965,16.65504117,14.65942527,83.40696978,98.09328024,24.89834282,298.0483428
4,70 ppm,thirty,one,3,Cotton,0.0213,1.952,0.15,0.149,0.151,0.384,0.384,0.383,246.302,58.052,0.2114,0.8444,274.6073794,0.9299,0.9578,0.3595,0,2.2472,3.139855367,40.283046,17.21725842,15.87366828,84.84385291,104.5838115,25.12430059,298.2743006
1,70 ppm,fifty,one,3,Cotton,0.0199,1.86,0.18,0.18,0.18,0.449,0.449,0.448,142.216,36.671,0.1547,0.5367,237.0458953,0.5118,0.5946,0.1315,0,1.2379,2.605762951,31.97395392,9.973667668,10.94176529,45.87139526,63.11642568,24.9681261,298.1181261
2,70 ppm,eighty,one,3,Cotton,0.022,1.881,0.118,0.113,0.114,0.293,0.285,0.285,129.158,26.784,0.084,0.4903,318.8571429,0.2797,0.352,0.0654,0,0.6971,4.8226448,32.43696739,10.38215408,11.74350456,51.48106586,70.02049536,24.98847771,298.1384777
3,210 ppm,zero,one,3,Cotton,0.0223,2,0.201,0.203,0.202,0.514,0.515,0.516,302.508,71.504,0.3165,1.1553,225.9210111,1.1627,1.3502,0.538,0,3.0509,4.034672991,41.67711315,19.39189663,19.22350365,123.6031785,134.7937261,25.03231232,298.1823123
